     40/99     9.02G   0.04132   0.04481   0.01839    0.1045        79      1024    0.3319    0.3178    0.2575     0.106    0.0524   0.04065   0.02671
     41/99     9.02G   0.04027   0.04482   0.01841    0.1035        72      1024    0.3337    0.3462    0.2672    0.1119   0.05218   0.04169   0.02659
     42/99     9.02G   0.04065   0.04598   0.01812    0.1047        57      1024    0.3277    0.3178    0.2569    0.1087   0.05203   0.04152   0.02676
     43/99     9.02G    0.0401   0.04391   0.01851    0.1025       101      1024    0.3861    0.2907    0.2646    0.1086   0.05248   0.04173   0.02682
     44/99     9.02G    0.0402   0.04422   0.01814    0.1026        87      1024     0.375    0.3087    0.2632    0.1081   0.05218   0.04225     0.027
     45/99     9.02G   0.03937   0.04403   0.01745    0.1008        83      1024      0.38    0.3008    0.2625    0.1069   0.05202   0.04416   0.02679
     46/99     9.02G   0.03942   0.04388   0.01758    0.1009        38      1024    0.3713    0.3041    0.2504     0.104    0.0523   0.04302   0.02758
     47/99     9.02G   0.03889   0.04253   0.01792   0.09934        60      1024    0.3425    0.3123    0.2528    0.1051   0.05234   0.04257    0.0267
     48/99     9.02G   0.03936   0.04233   0.01787   0.09956        59      1024    0.3639    0.2912    0.2472    0.1031   0.05226   0.04335   0.02789
     49/99     9.02G   0.03882   0.04383   0.01749    0.1001        58      1024    0.3481    0.3162    0.2513     0.106   0.05188   0.04278   0.02682
     50/99     9.02G    0.0385   0.04138   0.01731   0.09718        26      1024    0.3783    0.2993    0.2524    0.1035   0.05275   0.04419   0.02719
     51/99     9.02G   0.03832   0.04108   0.01697   0.09637        34      1024    0.3371    0.3326     0.255    0.1072   0.05202   0.04351   0.02749
     52/99     9.02G    0.0379   0.04113   0.01709   0.09612        77      1024     0.389    0.2849    0.2615    0.1106   0.05194   0.04328   0.02687
     53/99     9.02G   0.03751   0.04059   0.01672   0.09482        48      1024    0.3712    0.2973    0.2432    0.1014   0.05202   0.04406   0.02742
     54/99     9.02G   0.03747    0.0399   0.01654   0.09391        63      1024    0.3474    0.3296    0.2617    0.1073   0.05254   0.04435   0.02752
     55/99     9.02G   0.03708   0.03911   0.01653   0.09272        31      1024     0.373    0.3044    0.2632     0.109   0.05218   0.04368   0.02744
     56/99     9.02G   0.03714   0.04136   0.01648   0.09498        62      1024    0.3736    0.3144    0.2572    0.1066   0.05243   0.04542   0.02741
     57/99     9.02G   0.03704    0.0408   0.01617   0.09402        40      1024    0.3963    0.2986    0.2631    0.1084   0.05253   0.04457   0.02781
     58/99     9.02G   0.03647   0.03918   0.01613   0.09178        62      1024    0.4115    0.3015    0.2621    0.1066   0.05364   0.04458    0.0281
     59/99     9.02G   0.03624   0.04034   0.01605   0.09263        32      1024    0.3506    0.3219    0.2507    0.1037   0.05264   0.04479   0.02782
     60/99     9.02G   0.03624   0.04006   0.01613   0.09243        35      1024    0.3634    0.3072     0.252    0.1037   0.05294   0.04488   0.02823
     61/99     9.02G    0.0363   0.03896   0.01625   0.09151        95      1024    0.3531    0.3383    0.2575    0.1073   0.05266   0.04531    0.0277
     62/99     9.02G   0.03572   0.03888   0.01597   0.09058        78      1024    0.3724    0.2956     0.247     0.105   0.05268   0.04575   0.02801
     63/99     9.02G   0.03556   0.03942   0.01614   0.09112        25      1024     0.357     0.319     0.254    0.1064   0.05337   0.04582    0.0282
     64/99     9.02G   0.03621    0.0395   0.01548    0.0912        39      1024    0.3685    0.3144    0.2594    0.1094   0.05308   0.04618   0.02787
     65/99     9.02G   0.03532   0.03743   0.01518   0.08793        78      1024    0.3696    0.3121    0.2521    0.1069   0.05276   0.04607   0.02808
     66/99     9.02G   0.03489   0.03843   0.01576   0.08908        52      1024    0.3542     0.326    0.2547    0.1078   0.05273   0.04643   0.02841
     67/99     9.02G   0.03451   0.03609    0.0152    0.0858        44      1024    0.3544    0.3231    0.2509    0.1061   0.05298   0.04753   0.02832
     68/99     9.02G    0.0346   0.03783   0.01516   0.08759        46      1024     0.392    0.3001    0.2562    0.1067   0.05247    0.0465   0.02797
     69/99     9.02G   0.03442   0.03613   0.01521   0.08577        29      1024    0.3889    0.3029    0.2565    0.1065   0.05273   0.04738   0.02782
     70/99     9.02G   0.03399   0.03724   0.01507   0.08629        43      1024    0.3659    0.3184    0.2518     0.108   0.05272   0.04788   0.02823
     71/99     9.02G   0.03398   0.03587    0.0152   0.08506        43      1024    0.3321    0.3535    0.2544    0.1083   0.05271   0.04772   0.02803
     72/99     9.02G   0.03366   0.03692   0.01519   0.08576        71      1024    0.3637    0.3238    0.2522    0.1064   0.05298   0.04801   0.02796
     73/99     9.02G    0.0338   0.03671   0.01487   0.08539        42      1024    0.3686    0.3166    0.2511    0.1036   0.05269   0.04739   0.02836
     74/99     9.02G   0.03351   0.03655   0.01487   0.08493        51      1024    0.3783    0.3048     0.249    0.1051   0.05259   0.04862   0.02823
     75/99     9.02G   0.03312   0.03489   0.01439   0.08241        21      1024    0.4368    0.2752    0.2548    0.1064   0.05272   0.04798   0.02799
     76/99     9.02G   0.03321   0.03529   0.01448   0.08298        43      1024    0.3791    0.3144    0.2492    0.1041   0.05271   0.04858   0.02822
     77/99     9.02G   0.03294   0.03438   0.01479   0.08211        72      1024    0.3454    0.3362    0.2421    0.1033   0.05278   0.04824   0.02829
     78/99     9.02G   0.03321   0.03631   0.01513   0.08465        64      1024    0.3801    0.3132    0.2503    0.1064   0.05276   0.04777   0.02788
     79/99     9.02G   0.03294   0.03544   0.01438   0.08276        75      1024    0.3903    0.2999    0.2468    0.1062    0.0529   0.04981   0.02832
     80/99     9.02G   0.03261   0.03512   0.01445   0.08217        72      1024    0.3954    0.3016    0.2485    0.1059   0.05308   0.04966   0.02861
     81/99     9.02G   0.03249   0.03504   0.01412   0.08165        71      1024    0.3725    0.3186    0.2475    0.1054   0.05304   0.04879   0.02843
     82/99     9.02G    0.0323   0.03499   0.01472   0.08201        47      1024    0.3746     0.308    0.2417    0.1025   0.05316   0.04924    0.0285
     83/99     9.02G   0.03239    0.0342   0.01431    0.0809        51      1024    0.4112    0.2833    0.2443    0.1045   0.05333   0.04938    0.0288
     84/99     9.02G   0.03231     0.034   0.01445   0.08077        64      1024    0.3971    0.2971    0.2508    0.1077    0.0533   0.04974   0.02885
     85/99     9.02G     0.032   0.03462   0.01428    0.0809        54      1024    0.3871    0.3021    0.2352   0.09994   0.05361   0.05125   0.02883
     86/99     9.02G   0.03229   0.03548    0.0146   0.08237        28      1024    0.4029    0.3042    0.2465    0.1037   0.05333   0.05014   0.02883
     87/99     9.02G   0.03183   0.03327   0.01382   0.07892        75      1024    0.3942    0.2968    0.2366    0.1015   0.05392   0.05133   0.02915
     88/99     9.02G   0.03161   0.03377   0.01381   0.07919        57      1024     0.394    0.2942    0.2381    0.1019   0.05329   0.05028   0.02902
     89/99     9.02G   0.03128   0.03323   0.01378   0.07828        52      1024    0.3626    0.3184    0.2414    0.1031   0.05327    0.0506   0.02895
